Month,County,Unemployment_Rate,Year,State
June,Alachua County,6.5,2020,FL
June,Baker County,5.9,2020,FL
June,Bay County,6.9,2020,FL
June,Bradford County,7,2020,FL
June,Brevard County,8.2,2020,FL
June,Broward County,11.8,2020,FL
June,Calhoun County,6.2,2020,FL
June,Charlotte County,9.1,2020,FL
June,Citrus County,9.8,2020,FL
June,Clay County,6.6,2020,FL
June,Collier County,9.4,2020,FL
June,Columbia County,6.8,2020,FL
June,DeSoto County,5.9,2020,FL
June,Dixie County,6.8,2020,FL
June,Duval County,8.4,2020,FL
June,Escambia County,7.9,2020,FL
June,Flagler County,9.4,2020,FL
June,Franklin County,6.2,2020,FL
June,Gadsden County,7.4,2020,FL
June,Gilchrist County,5.6,2020,FL
June,Glades County,7.1,2020,FL
June,Gulf County,6.8,2020,FL
June,Hamilton County,8.4,2020,FL
June,Hardee County,8.3,2020,FL
June,Hendry County,10.6,2020,FL
June,Hernando County,10,2020,FL
June,Highlands County,8.9,2020,FL
June,Hillsborough County,9,2020,FL
June,Holmes County,6.5,2020,FL
June,Indian River County,9.2,2020,FL
June,Jackson County,6.9,2020,FL
June,Jefferson County,6.6,2020,FL
June,Lafayette County,4.8,2020,FL
June,Lake County,13.8,2020,FL
June,Lee County,9.6,2020,FL
June,Leon County,7,2020,FL
June,Levy County,7.3,2020,FL
June,Liberty County,5.9,2020,FL
June,Madison County,7,2020,FL
June,Manatee County,8.4,2020,FL
June,Marion County,8.3,2020,FL
June,Martin County,7.8,2020,FL
June,Miami-Dade County,11.8,2020,FL
June,Monroe County,9.7,2020,FL
June,Nassau County,7.2,2020,FL
June,Okaloosa County,6.2,2020,FL
June,Okeechobee County,6.8,2020,FL
June,Orange County,16.9,2020,FL
June,Osceola County,22.3,2020,FL
June,Palm Beach County,10.2,2020,FL
June,Pasco County,9.1,2020,FL
June,Pinellas County,8.8,2020,FL
June,Polk County,13.6,2020,FL
June,Putnam County,9.3,2020,FL
June,Santa Rosa County,6.3,2020,FL
June,Sarasota County,8.5,2020,FL
June,Seminole County,10,2020,FL
June,St. Johns County,6.8,2020,FL
June,St. Lucie County,9.7,2020,FL
June,Sumter County,9.4,2020,FL
June,Suwannee County,6.8,2020,FL
June,Taylor County,7.1,2020,FL
June,Union County,5.4,2020,FL
June,Volusia County,9.5,2020,FL
June,Wakulla County,5.6,2020,FL
June,Walton County,6.8,2020,FL
June,Washington County,6.8,2020,FL
June,Florida (Not Seasonally Adjusted),10.5,2020,FL
June,Florida (Seasonally Adjusted),10.3,2020,FL
June,United States (Not Seasonally Adjusted),11.2,2020,FL
June,United States (Seasonally Adjusted),11.1,2020,FL
